input,output
" Well , you can keep the vegetables , I ’ ll take the meat . The stir fry my wife made was really hearty , with chunks of beef and slivers of bell peppers and onion ... ", What ? You call that a stir fry ? More meat than vegetables ? That ’ s the worst insult you could throw at a Chinese stir fry . What a disgrace to the wok she fried it in ! What you had is equivalent to a fajita without the wrap ! 
What did you say ? , I said it's a lovely day . Why don't we go for a walk ? 
 I said it's a lovely day . Why don't we go for a walk ? ," Well , I feel a little tired . "
" Well , I feel a little tired . "," Come on ! A little labor , much health . "
" Come on ! A little labor , much health . ", Then can you wait a few minutes ? I want to finish writing this letter . 
 Then can you wait a few minutes ? I want to finish writing this letter . , Don't take too long . It would be a shame not to take advantage of such lovely weather . 
 Don't take too long . It would be a shame not to take advantage of such lovely weather . , I won't be long . No more than ten minutes . Why don't you go ahead and I'll meet you in the park ? 
 I won't be long . No more than ten minutes . Why don't you go ahead and I'll meet you in the park ? , I Believe I will . Look for me near the lake . 
Thank god you showed up when you did ! He ’ s insane ! Do you think we should call the police ? ," Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! "
" Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! ", I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... 
 I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... ," Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? "
" Don ’ t apologize ! From the moment I met you , not a day has gone by when I haven ’ t thought of you.And now that I ’ m with you again , I ’ m ... I ’ m just scared , Veronica . The closer I get to you , the worse it gets . The thought of not being with you , I mean , I just can ’ t handle it ! We were made for each other , Veronica . You are my everything , my soul mate . What can I do ? "," Just hold me ... I ’ ll always be here for you , no matter what . And together , we can tackle whatever life throws at us . I believe in us , steven . "
" Just hold me ... I ’ ll always be here for you , no matter what . And together , we can tackle whatever life throws at us . I believe in us , steven . ", I ’ m so happy to hear that ! I knew we belong together . I love you so much . 
"Zina , can I talk to you about something personal ? ", As long as it doesn't take too long . 
 As long as it doesn't take too long . , My boyfriend says I work too much . That I spend more time with you than with him . 
 My boyfriend says I work too much . That I spend more time with you than with him . , Was he upset when you told him you had to leave this weekend ? 
 Was he upset when you told him you had to leave this weekend ? ," He said not to bother coming back . And I said , fine , I won't . "
" He said not to bother coming back . And I said , fine , I won't . ", So what's the problem ? 
"Mary , how was your date with john ? ", it's ok . It seems we have a lot in common . 
 it's ok . It seems we have a lot in common . ," oh , really . That is great news . What does he look like ? "
" oh , really . That is great news . What does he look like ? "," he is tall and slim , fair-haired . "
" he is tall and slim , fair-haired . ", sounds like he is pretty cute . What do you think of him ? 
 sounds like he is pretty cute . What do you think of him ? , he is a nice guy and very considerate . I was impressed with how smart he was and he has a great sense of humor . 
 he is a nice guy and very considerate . I was impressed with how smart he was and he has a great sense of humor . ," oh , it's love at first sight . When will you see each other again ? "
" oh , it's love at first sight . When will you see each other again ? "," he didn't say , but he said he would call me . "
" he didn't say , but he said he would call me . ", maybe he is busy with his work . Just wait and try not to think about it too much ! 
